,diocese_11,diocese_11_label,event_lead_speed,time_delta,distance,distance_sum,distance_log,time_delta_sum,event_count,diocese_lead_speed
305,https://g17.dhi-roma.it/resources/institution_629,Vicensis,0.621695871944408,118.43225806451613,849.1808076638832,26324.60503758038,6.744272129083696,3671.4,31,0.05694624285057324
14,https://g17.dhi-roma.it/resources/institution_125,Bracharensis,0.07148452431991983,131.0,1735.675615362148,27770.809845794367,7.459152020249973,2096.0,16,0.05694009175763338
306,https://g17.dhi-roma.it/resources/institution_63,Aquilana,0.46860519252644534,79.04516129032258,90.05789901995128,2791.7948696184894,4.5004527859309915,2450.4,31,0.05693520909396863
214,https://g17.dhi-roma.it/resources/institution_459,Pistoriensis,0.15927014894843025,98.0,264.0518665137821,2640.518665137821,5.576145547917135,980.0,10,0.05689944436650138
144,https://g17.dhi-roma.it/resources/institution_354,Maioricensis,0.17611721969381558,119.64285714285714,841.3397834362664,11778.75696810773,6.734995601488487,1675.0,14,0.05629250054975452
116,https://g17.dhi-roma.it/resources/institution_305,Ispalensis,1.0374487465005775,132.17000000000002,1659.679560027814,33193.59120055628,7.4143798265888945,2643.4,20,0.056097297621161335
311,https://g17.dhi-roma.it/resources/institution_637,Viterbiensis,0.06529453623607326,75.76923076923077,67.30456924854738,874.959400231116,4.209228128083709,985.0,13,0.05555326463460733
269,https://g17.dhi-roma.it/resources/institution_561,Theanensis,0.13746248269636188,90.27272727272727,150.08582415267085,1650.9440656793793,5.011207291492355,993.0,11,0.055511863249160034
32,https://g17.dhi-roma.it/resources/institution_148,Cameracensis,0.09790847938763089,127.4,1164.627736639662,11646.277366396622,7.060156775571123,1274.0,10,0.05541724313635104
129,https://g17.dhi-roma.it/resources/institution_324,Legionensis,0.09078794105721406,132.0,1489.2736443270965,28296.199242214832,7.306043793050279,2508.0,19,0.05534881661401726
268,https://g17.dhi-roma.it/resources/institution_560,Terulensis,0.15575650265585048,128.0,1153.6604378253965,6921.962626952379,7.050695155783687,768.0,6,0.05508355590456006
41,https://g17.dhi-roma.it/resources/institution_162,Carthaginensis,0.05623764718066041,132.2,1248.1724526465612,12481.724526465612,7.129435722593338,1322.0,10,0.05392916582899651
319,https://g17.dhi-roma.it/resources/institution_668,Vercellensis,0.1706096973067036,115.66666666666667,502.4413200539754,4521.9718804857785,6.219478857102392,1041.0,9,0.05377071058013595
206,https://g17.dhi-roma.it/resources/institution_443,Papiensis,0.13811275856480146,114.16666666666667,457.15698106223596,5485.883772746832,6.125026835328872,1370.0,12,0.05364987009047187
147,https://g17.dhi-roma.it/resources/institution_357,Marsicana,0.16152262474844917,81.875,78.57845492715792,628.6276394172634,4.364097551518553,655.0,8,0.05330195482770751
167,https://g17.dhi-roma.it/resources/institution_392,Montis Alti/Montisalti,0.09727434436446135,94.57142857142857,152.31732664956735,1066.2212865469714,5.02596602000647,662.0,7,0.053144655800672645
21,https://g17.dhi-roma.it/resources/institution_134,Burgensis,0.1209911889198223,135.8,1341.960975487367,13419.60975487367,7.201887237740235,1358.0,10,0.05303304298777787
354,https://g17.dhi-roma.it/resources/institution_86,Auriensis,0.057264893631167685,140.3846153846154,1684.397259135675,21897.164368763777,7.429163069081317,1825.0,13,0.05292006569756554
93,https://g17.dhi-roma.it/resources/institution_262,Florentina,0.12228960933536266,103.25,233.13885090972227,2797.6662109166673,5.451634202723095,1239.0,12,0.052800331261240625
252,https://g17.dhi-roma.it/resources/institution_528,Segobiensis,0.05857977835681239,139.32,1389.766782144651,34744.16955361627,7.2368912294179095,3483.0,25,0.05194438149165884
361,https://g17.dhi-roma.it/resources/institution_999,Suessana,0.18362834722758903,95.54545454545455,141.2923252628793,1554.2155778916722,4.950830973019882,1051.0,11,0.05181649924188269
210,https://g17.dhi-roma.it/resources/institution_451,Perusina,0.070487607848944,96.64285714285714,136.28373108550076,1907.9722351970108,4.914738970503557,1353.0,14,0.05085465305768648
64,https://g17.dhi-roma.it/resources/institution_204,Conchensis,0.08685820424849089,143.1304347826087,1237.7093905344136,28467.315982291515,7.121017684601637,3292.0,23,0.049751946156086774
313,https://g17.dhi-roma.it/resources/institution_641,Volaterrana,0.08781004124284635,110.16666666666667,217.0577811606594,1302.3466869639565,5.380163590725961,661.0,6,0.048836583274365755
265,https://g17.dhi-roma.it/resources/institution_556,Tarvisina,0.07504804493574592,123.78571428571429,420.9005583633328,5892.6078170866585,6.04239660236945,1733.0,14,0.048813359742165205
34,https://g17.dhi-roma.it/resources/institution_15,Abulensis,0.09163869205973928,149.875,1446.6010000404203,23145.616000646725,7.276971945718978,2398.0,16,0.048553607644496934
203,https://g17.dhi-roma.it/resources/institution_440,Palentina,0.07186142190419048,151.25,1405.1577430599805,11241.261944479844,7.247904848106301,1210.0,8,0.04792003205359538
332,https://g17.dhi-roma.it/resources/institution_694,Patavina,0.0713395352683499,126.52941176470588,393.17451462030067,6683.966748545112,5.974253570862898,2151.0,17,0.04721632296823304
