,event,event_label,date_value_7,date_value_4,diocese_11,diocese_11_label,province,province_label,map_15,place_13,place_13_label,place_17,place_17_label,map_19,type_labels
3651,https://g17.dhi-roma.it/resources/event_1325,APOSTOLIC PROVISION 1325,1622-09-15,1622-11-03,https://g17.dhi-roma.it/resources/institution_117,Boianensis,https://g17.dhi-roma.it/resources/institution_847,Benevento,POINT (14.466666666667 41.483333333333),https://g17.dhi-roma.it/resources/place_113,Bojano,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls"
3652,https://g17.dhi-roma.it/resources/event_1360,APOSTOLIC PROVISION 1360,1622-05-16,1622-10-17,https://g17.dhi-roma.it/resources/institution_248,Elvensis,https://g17.dhi-roma.it/resources/institution_875,Lisbon,POINT (-7.1627777777778 38.88),https://g17.dhi-roma.it/resources/place_239,Elvas,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship,Parish Church,Church institutions"
3653,https://g17.dhi-roma.it/resources/event_2066,APOSTOLIC PROVISION 2066,1675-07-02,1678-09-13,https://g17.dhi-roma.it/resources/institution_216,Corisopitensis,https://g17.dhi-roma.it/resources/institution_827,Tours,POINT (-4.0977777777778 47.995833333333),https://g17.dhi-roma.it/resources/place_210,Quimper,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Liturgical office,rectorship in a parish church,Rectorship,Parish Church,Church institutions"
3654,https://g17.dhi-roma.it/resources/event_547,APOSTOLIC PROVISION 547,1622-05-16,1622-10-29,https://g17.dhi-roma.it/resources/institution_246,Elnensis,https://g17.dhi-roma.it/resources/institution_870,Tarragona,POINT (2.9711111111111 42.600277777778),https://g17.dhi-roma.it/resources/place_237,Elne,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Parish Church,Church institutions,Administrative office,Holder of an undefined benefice,Undefined administrative office,Holder of a benefice"
3655,https://g17.dhi-roma.it/resources/event_16285,APOSTOLIC PROVISION 16285,1613-07-02,1622-03-14,https://g17.dhi-roma.it/resources/institution_216,Corisopitensis,https://g17.dhi-roma.it/resources/institution_827,Tours,POINT (-4.0977777777778 47.995833333333),https://g17.dhi-roma.it/resources/place_210,Quimper,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,rectorship of a prior,Liturgical office,Rectorship,Order of Saint Benedict,Orders of the monastic tradition"
3656,https://g17.dhi-roma.it/resources/event_7694,APOSTOLIC PROVISION 7694,1622-02-14,1622-04-29,https://g17.dhi-roma.it/resources/institution_123,Bovensis,https://g17.dhi-roma.it/resources/institution_855,Reggio-Calabria,POINT (15.933333333333 38),https://g17.dhi-roma.it/resources/place_118,Bova,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,church,Church institutions,Administrative office,Cantorate,Defined administrative office"
3657,https://g17.dhi-roma.it/resources/event_7503,APOSTOLIC PROVISION 7503,1622-02-14,1623-01-24,https://g17.dhi-roma.it/resources/institution_363,Materanensis,https://g17.dhi-roma.it/resources/institution_854,Acerenza,POINT (16.6 40.666666666667),https://g17.dhi-roma.it/resources/place_355,Matera,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls"
3658,https://g17.dhi-roma.it/resources/event_1879,APOSTOLIC PROVISION 1879,1677-05-26,1677-12-26,https://g17.dhi-roma.it/resources/institution_78,Astoricensis,https://g17.dhi-roma.it/resources/institution_887,Oviedo,POINT (-6.0569444444444 42.4575),https://g17.dhi-roma.it/resources/place_74,Astorga,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,Resignation,Public resignation,Biographical reasons,Restitution,Liturgical office,rectorship in a parish church,Rectorship,Parish Church,Church institutions"
3659,https://g17.dhi-roma.it/resources/event_1359,APOSTOLIC PROVISION 1359,1622-09-15,1622-10-15,https://g17.dhi-roma.it/resources/institution_77,Astensis,https://g17.dhi-roma.it/resources/institution_838,Milano,POINT (8.2069444444444 44.9),https://g17.dhi-roma.it/resources/place_73,Asti,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend,church,Church institutions"
3660,https://g17.dhi-roma.it/resources/event_955,APOSTOLIC PROVISION 955,1622-11-15,1622-12-05,https://g17.dhi-roma.it/resources/institution_152,Campaniensis et Satrianensis,https://g17.dhi-roma.it/resources/institution_855,Reggio-Calabria,POINT (16.466666666667 38.666666666667),https://g17.dhi-roma.it/resources/place_147,Satriano,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,church,Church institutions,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice"
3661,https://g17.dhi-roma.it/resources/event_5830,APOSTOLIC PROVISION 5830,1622-05-16,1622-06-16,https://g17.dhi-roma.it/resources/institution_69,Aretina,https://g17.dhi-roma.it/resources/institution_842,Firenze,POINT (11.878055555556 43.463055555556),https://g17.dhi-roma.it/resources/place_65,Arezzo,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,Head of an oratory,Office in a monastery"
3662,https://g17.dhi-roma.it/resources/event_5585,APOSTOLIC PROVISION 5585,1622-01-16,1622-04-26,https://g17.dhi-roma.it/resources/institution_125,Bracharensis,https://g17.dhi-roma.it/resources/institution_873,Braga,POINT (-8.4166666666667 41.533333333333),https://g17.dhi-roma.it/resources/place_120,Braga,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Office in a monastery,Head of an abbey,Parish Church,Church institutions"
3663,https://g17.dhi-roma.it/resources/event_6195,APOSTOLIC PROVISION 6195,1622-06-15,1622-08-05,https://g17.dhi-roma.it/resources/institution_541,Spoletana,https://g17.dhi-roma.it/resources/institution_877,Exempt Diocese,POINT (12.733333333333 42.733333333333),https://g17.dhi-roma.it/resources/place_529,Spoleto,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice"
3664,https://g17.dhi-roma.it/resources/event_1365,APOSTOLIC PROVISION 1365,1622-07-16,1622-12-05,https://g17.dhi-roma.it/resources/institution_350,Lunensarzanen,https://g17.dhi-roma.it/resources/institution_840,Genova,POINT (9.9599583333333 44.113608333333),https://g17.dhi-roma.it/resources/place_513,Sarzana,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Without care of souls,Administrative office,Undefined administrative office,Holder of a benefice in a church,Holder of a benefice"
3665,https://g17.dhi-roma.it/resources/event_4175,APOSTOLIC PROVISION 4175,1678-01-16,1678-06-28,https://g17.dhi-roma.it/resources/institution_287,Grossetana,https://g17.dhi-roma.it/resources/institution_845,Siena,POINT (11.108888888889 42.772222222222),https://g17.dhi-roma.it/resources/place_278,Grosseto,https://g17.dhi-roma.it/resources/place_649,Rome,POINT (12.482777777778 41.893055555556),"act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend"
3666,https://g17.dhi-roma.it/resources/event_6147,APOSTOLIC PROVISION 6147,1622-06-20,1622-07-01,https://g17.dhi-roma.it/resources/institution_1018,Casalensis,https://g17.dhi-roma.it/resources/institution_951,Vercelli,POINT (8.4583333333333 45.134166666667),https://g17.dhi-roma.it/resources/place_1699,Casale Monferrato,https://g17.dhi-roma.it/resources/place_656,Basilica di Santa Maria Maggiore,POINT (12.498611111111 41.8975),"deceased in Rome,act of grace,apostolic provision,papal grace,death of previous holder,Biographical reasons,Administrative office,Holder of a canonship,Defined administrative office,Canonship and prebend"
