,province,province_label,time_delta,distance,event_count,province_lead_speed
72,https://g17.dhi-roma.it/resources/institution_957,Piedmont,107.42857142857143,486.1997885955194,7,0.05758821461370417
57,https://g17.dhi-roma.it/resources/institution_886,Granada,125.18181818181819,1262.3487817957555,11,0.05704286357950825
50,https://g17.dhi-roma.it/resources/institution_874,Santiago,130.50676691729325,1585.9069700012735,133,0.056463828792467204
48,https://g17.dhi-roma.it/resources/institution_872,Seville,131.725,1670.9849111112615,24,0.05633834502713233
0,https://g17.dhi-roma.it/resources/institution_1005,Cambrai,127.8,1169.5737627355657,15,0.055276953490315084
13,https://g17.dhi-roma.it/resources/institution_824,Vienne,116.83333333333333,627.1586660962143,12,0.055131522664146775
31,https://g17.dhi-roma.it/resources/institution_853,Conza,104.58333333333333,265.68552756006085,24,0.05337670166229813
47,https://g17.dhi-roma.it/resources/institution_871,Toledo,135.3880341880342,1336.0823576932833,117,0.05316198761834704
24,https://g17.dhi-roma.it/resources/institution_845,Siena,94.91304347826087,151.25876392744868,23,0.05287989779512063
58,https://g17.dhi-roma.it/resources/institution_887,Oviedo,143.16666666666666,1504.3041524264331,30,0.0511018792531166
26,https://g17.dhi-roma.it/resources/institution_847,Benevento,105.5679012345679,195.6183886473676,81,0.049978882813518116
76,https://g17.dhi-roma.it/resources/institution_981,Albi,136.25,879.2770741279622,4,0.049754862849012524
74,https://g17.dhi-roma.it/resources/institution_963,Corfu,139.0,673.569621094681,2,0.046853175270403696
70,https://g17.dhi-roma.it/resources/institution_955,Waterford and Lismore,166.0,1914.073627123133,1,0.0455240303550872
62,https://g17.dhi-roma.it/resources/institution_892,Venice,134.66666666666666,446.24723990187016,3,0.04530351347510549
60,https://g17.dhi-roma.it/resources/institution_890,Burgos,166.47368421052633,1273.403247669563,19,0.04294641733843427
3,https://g17.dhi-roma.it/resources/institution_803,Gniezno,176.5,1320.452209281786,2,0.040712348666864386
37,https://g17.dhi-roma.it/resources/institution_859,Messina,161.4340425531915,485.56671696216245,47,0.03831482257114261
6,https://g17.dhi-roma.it/resources/institution_815,Armagh,212.0,1987.8490508702403,1,0.03582456818013172
8,https://g17.dhi-roma.it/resources/institution_817,Dublin,212.0,1835.840575854271,1,0.0354493289390892
59,https://g17.dhi-roma.it/resources/institution_888,Valencia,202.0,1220.7881266461122,1,0.03518441551783781
17,https://g17.dhi-roma.it/resources/institution_835,Arles,186.75,584.8197391417235,4,0.0341167532076479
2,https://g17.dhi-roma.it/resources/institution_802,Riga,215.0,1483.316001171434,1,0.033962955357304106
38,https://g17.dhi-roma.it/resources/institution_860,Monreale (Sicily),209.0,428.75312894673334,2,0.028999432039657737
