,diocese_id,diocese_name,average_combined_score,average_ratio_score,count_positive_score,total_events,unique_persons,likelihood
259,https://g17.dhi-roma.it/resources/institution_328,Leodiensis,0.0178938708350473,0.024132730015082954,2,66,1,typical
435,https://g17.dhi-roma.it/resources/institution_541,Spoletana,0.017241379310344827,0.034482758620689655,1,29,1,typical
186,https://g17.dhi-roma.it/resources/institution_223,Cremonensis,0.01666666666666667,0.03333333333333334,1,20,1,typical
224,https://g17.dhi-roma.it/resources/institution_277,Gerundensis,0.01639344262295082,0.01639344262295082,1,61,1,typical
170,https://g17.dhi-roma.it/resources/institution_206,Condomiensis,0.016129032258064516,0.03225806451612903,1,31,1,typical
430,https://g17.dhi-roma.it/resources/institution_532,Senonensis,0.013333333333333334,0.016666666666666666,2,100,1,typical
359,https://g17.dhi-roma.it/resources/institution_446,Parmensis,0.013008373205741627,0.026016746411483254,2,66,1,typical
577,https://g17.dhi-roma.it/resources/institution_99,Barchinonensis,0.012820512820512822,0.025641025641025644,2,65,1,typical
125,https://g17.dhi-roma.it/resources/institution_15,Abulensis,0.0125,0.025,1,40,1,typical
567,https://g17.dhi-roma.it/resources/institution_86,Auriensis,0.012307692307692308,0.024615384615384615,1,25,1,typical
120,https://g17.dhi-roma.it/resources/institution_143,Calaguritana,0.01183431952662722,0.02366863905325444,1,26,1,typical
497,https://g17.dhi-roma.it/resources/institution_625,Veronensis,0.011363636363636364,0.022727272727272728,1,44,1,typical
297,https://g17.dhi-roma.it/resources/institution_373,Melphitensis,0.010869565217391304,0.021739130434782608,1,46,1,typical
460,https://g17.dhi-roma.it/resources/institution_576,Trecorensis,0.008974358974358974,0.017948717948717947,1,52,1,typical
207,https://g17.dhi-roma.it/resources/institution_258,Ferrariensis,0.0,0.0,0,8,1,typical
164,https://g17.dhi-roma.it/resources/institution_200,Coloniensis,0.0,0.0,0,5,1,typical
296,https://g17.dhi-roma.it/resources/institution_372,Melphiensis,0.0,0.0,0,26,1,typical
192,https://g17.dhi-roma.it/resources/institution_234,Dertusensis,0.0,0.0,0,18,1,typical
176,https://g17.dhi-roma.it/resources/institution_212,Conversanensis,0.0,0.0,0,5,1,typical
179,https://g17.dhi-roma.it/resources/institution_215,Cordubensis,0.0,0.0,0,15,1,typical
232,https://g17.dhi-roma.it/resources/institution_292,Hieracensis,0.0,0.0,0,12,1,typical
220,https://g17.dhi-roma.it/resources/institution_272,Gadicensis,0.0,0.0,0,6,1,typical
163,https://g17.dhi-roma.it/resources/institution_199,Collensis,0.0,0.0,0,10,1,typical
231,https://g17.dhi-roma.it/resources/institution_29,Agrigentina,0.0,0.0,0,7,1,typical
230,https://g17.dhi-roma.it/resources/institution_287,Grossetana,0.0,0.0,0,5,1,typical
148,https://g17.dhi-roma.it/resources/institution_179,Celsonensis,0.0,0.0,0,13,1,typical
