"event","event_label","date_value_7","date_value_4","diocese_11","diocese_11_label","province","province_label","map_15","place_13","place_13_label","place_17","place_17_label","map_19","type_labels"
"https://g17.dhi-roma.it/resources/event_1066","APOSTOLIC PROVISION 1066","1622-11-15","1622-12-10","https://g17.dhi-roma.it/resources/institution_530","Senensis","https://g17.dhi-roma.it/resources/institution_845","Siena","POINT (11.331388888889 43.318333333333)","https://g17.dhi-roma.it/resources/place_518","Siena","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_7724","APOSTOLIC PROVISION 7724","1622-04-03","1622-04-14","https://g17.dhi-roma.it/resources/institution_120","Bononiensis","https://g17.dhi-roma.it/resources/institution_891","Bologna","POINT (11.342777777778 44.493888888889)","https://g17.dhi-roma.it/resources/place_115","Bologna","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","deceased in Rome,apostolic provision,papal grace,death of previous holder,Without care of souls,Head of an oratory,church"
"https://g17.dhi-roma.it/resources/event_7772","APOSTOLIC PROVISION 7772","1622-04-15","1622-05-19","https://g17.dhi-roma.it/resources/institution_529","Seguntin","https://g17.dhi-roma.it/resources/institution_871","Toledo","POINT (-2.6391666666667 41.069166666667)","https://g17.dhi-roma.it/resources/place_517","Sigüenza","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder,church"
"https://g17.dhi-roma.it/resources/event_5995","APOSTOLIC PROVISION 5995","1622-03-16","1622-07-07","https://g17.dhi-roma.it/resources/institution_318","Laudensis","https://g17.dhi-roma.it/resources/institution_838","Milano","POINT (9.5 45.316666666667)","https://g17.dhi-roma.it/resources/place_309","Lodi","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Holder of a benefice,Holder of a clerical benefice"
"https://g17.dhi-roma.it/resources/event_5794","APOSTOLIC PROVISION 5794","1622-04-15","1622-06-13","https://g17.dhi-roma.it/resources/institution_682","Bisceglie","https://g17.dhi-roma.it/resources/institution_879","Trani","POINT (16.502061111111 41.240933333333)","https://g17.dhi-roma.it/resources/place_1023","Bisceglie","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Canonship and prebend,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_1499","APOSTOLIC PROVISION 1499","1622-06-15","1622-11-18","https://g17.dhi-roma.it/resources/institution_146","Calvensis","https://g17.dhi-roma.it/resources/institution_847","Benevento","POINT (14.866666666667 41.066666666667)","https://g17.dhi-roma.it/resources/place_141","Calvi","https://g17.dhi-roma.it/resources/place_972","St. Peter's Basilica","POINT (12.453416666666667 41.90222222222222)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_888","APOSTOLIC PROVISION 888","1622-07-16","1622-10-05","https://g17.dhi-roma.it/resources/institution_405","Narniensis","https://g17.dhi-roma.it/resources/institution_877","Exempt Diocese","POINT (12.516666666667 42.516666666667)","https://g17.dhi-roma.it/resources/place_397","Narni","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","apostolic provision,papal grace,death of previous holder,Archpriest,church,Collegiate church"
"https://g17.dhi-roma.it/resources/event_6192","APOSTOLIC PROVISION 6192","1622-06-15","1622-08-05","https://g17.dhi-roma.it/resources/institution_254","Faventina","https://g17.dhi-roma.it/resources/institution_841","Ravenna","POINT (11.883333333333 44.285555555556)","https://g17.dhi-roma.it/resources/place_245","Faenza","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Without care of souls,Holder of a benefice in a church"
"https://g17.dhi-roma.it/resources/event_2078","APOSTOLIC PROVISION 2078","1678-01-16","1678-09-19","https://g17.dhi-roma.it/resources/institution_352","Macleviensis","https://g17.dhi-roma.it/resources/institution_827","Tours","POINT (-2.0088888888889 48.647222222222)","https://g17.dhi-roma.it/resources/place_344","Saint-Malo","https://g17.dhi-roma.it/resources/place_656","Basilica di Santa Maria Maggiore","POINT (12.498611111111 41.8975)","apostolic provision,papal grace,death of previous holder,Rectorship,Parish Church,church"
"https://g17.dhi-roma.it/resources/event_5802","APOSTOLIC PROVISION 5802","1622-05-19","1622-05-30","https://g17.dhi-roma.it/resources/institution_292","Hieracensis","https://g17.dhi-roma.it/resources/institution_855","Reggio-Calabria","POINT (16.216666666667 38.266666666667)","https://g17.dhi-roma.it/resources/place_283","Gerace","https://g17.dhi-roma.it/resources/place_578","Tusculum","POINT (12.710833333333 41.798333333333)","deceased in Rome,apostolic provision,papal grace,death of previous holder,Pastor,church"
"https://g17.dhi-roma.it/resources/event_4834","APOSTOLIC PROVISION 4834","1622-11-15","1623-01-13","https://g17.dhi-roma.it/resources/institution_107","Beneventana","https://g17.dhi-roma.it/resources/institution_847","Benevento","POINT (14.783333333333 41.133333333333)","https://g17.dhi-roma.it/resources/place_103","Benevento","https://g17.dhi-roma.it/resources/place_649","Rome","POINT (12.482777777778 41.893055555556)","apostolic provision,papal grace,death of previous holder"
